Field,Label,Value
created,Created,2025-10-15T14:43:39.281511
description,Description,Summarized forecast precipitation anomalies data at adm1 from 2017-01-01 to 2025-10-31 for Africa
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/a0e34f02-6d1d-4160-9e0a-f93a19a1f2e8/resource/6d9fa931-b9c5-4cc6-a6d3-7c7f9a087de2/download/forecast_precipitation_anomalies_adm1_africa.csv
id,Resource ID,6d9fa931-b9c5-4cc6-a6d3-7c7f9a087de2
last_modified,Updated,2025-10-16T14:49:16.425199
metadata_modified,Metadata Updated,2025-10-16T14:49:17.470736
microdata,Microdata,False
dataset_id,Dataset ID,a0e34f02-6d1d-4160-9e0a-f93a19a1f2e8
resource_type,Resource Type,file.upload
name,Resource Name,forecast_precipitation_anomalies_adm1_africa.csv
mimetype,MIME Type,
size,Size,34.2M
